city;population;country
London;8 961 989;United Kingdom
Paris;2 148 327;France 
Madrid;3 334 730;Spain 
Barcelona;1 664 182;Spain 
Berlin;3 669 491;Germany
Milan;1 399 860;Italy
Rome;2 790 712;Italy
Prague;1 335 084;Czech Republic
Lisbon;506 654;Portugal
Vienna;1 921 153;Austria
Amsterdam;872 757;Netherlands
Brussels;1 212 352;Belgium
Hamburg;1 845 229;Germany
Munich;1 488 202;Germany
Lyon;516 092;France 
Stockholm;975 550;Sweden
Budapest;1 750 216;Hungary
Warsaw;1 793 579;Poland
Dublin;1 173 179;Ireland 
Copenhagen;794 023;Denmark
Athens;655 780;Greece
Edinburgh;488 100;United Kingdom
Zurich;428 737;Switzerland
Oporto;237 591;Portugal
Geneva;200 548;Switzerland
Krakow;779 115;Poland
